,Variable,Climate,Hue,Season,max,75%,50%,25%,min,std,mean,count
ETr bias ratio,ETr,BSh + BSk: Hot and cold semi-arid (steppe),Alfalfa,summer,1.392821983019466,1.1504669594362595,1.0881572523627865,1.0208787344408417,0.8625189937758468,0.09993593667863757,1.0809017096202107,89.0
ETr bias ratio,ETr,BSh + BSk: Hot and cold semi-arid (steppe),Corn,summer,1.2890194565619963,1.1814942707384057,1.105476122248405,1.0553789730849383,0.9737956348967598,0.08005373597670377,1.1158522002833178,44.0
ETr bias ratio,ETr,BSh + BSk: Hot and cold semi-arid (steppe),Cotton,summer,1.2924038125074109,1.1613001556507845,1.0798636185805668,1.0351776203985672,1.0143255802065958,0.12505208053847738,1.1166141574687851,4.0
ETr bias ratio,ETr,BSh + BSk: Hot and cold semi-arid (steppe),Wheat,summer,1.1899192385072075,1.0723841130157796,1.0058989631823714,0.955048808560312,0.898924111649728,0.0815609204647184,1.0203437851681472,25.0
ETr bias ratio,ETr,BSh + BSk: Hot and cold semi-arid (steppe),Other,summer,1.4155776080878415,1.164100733193748,1.0815874727043924,1.0052638760985302,0.8623060837073729,0.11182690250230777,1.092862188612388,85.0
ETr bias ratio,ETr,BWh + BWk: Hot and cold desert,Alfalfa,summer,1.3983491308677238,1.2666088867125693,1.1547201625741943,1.1045614041532523,0.9491743569452188,0.12728515605010982,1.1704694034437317,17.0
ETr bias ratio,ETr,BWh + BWk: Hot and cold desert,Corn,summer,0.9447433944793924,0.9447433944793924,0.9447433944793924,0.9447433944793924,0.9447433944793924,,0.9447433944793924,1.0
ETr bias ratio,ETr,BWh + BWk: Hot and cold desert,Cotton,summer,1.4708305745957027,1.3113631264570218,1.1518956783183412,1.1179464423171748,1.0839972063160086,0.20654689757143788,1.2355744864100175,3.0
ETr bias ratio,ETr,BWh + BWk: Hot and cold desert,Wheat,summer,1.0913834302964245,1.059630157733796,1.0278768851711675,0.9961236126085391,0.9643703400459107,0.08981181741559725,1.0278768851711675,2.0
ETr bias ratio,ETr,BWh + BWk: Hot and cold desert,Other,summer,1.3605782093161425,1.1913719320753944,1.1194944199942554,1.0352873712006234,0.696773839413081,0.14911147636093072,1.113812554789021,21.0
ETr bias ratio,ETr,Cfa: Humid subtropical,Alfalfa,summer,1.1537899417361892,1.1287990449174243,1.1038081480986595,1.0788172512798944,1.0538263544611295,0.070684930433928,1.1038081480986595,2.0
