STATION_ID,summer_mean,STATION_LAT,STATION_LON,start_year,end_year
Almond_High,1.3351924352253552,36.169669,-120.201004,2017,2019
Almond_Low,1.1977909106927733,36.946608,-120.10237,2017,2019
Almond_Med,1.3618534757260816,36.177669,-120.202644999999,2017,2019
BAR012,1.1471528919660503,38.751,-122.975,2017,2020
Ellendale,0.857846141598596,29.633321,-90.827662,2019,2019
RIP760,1.296890434854489,36.839,-120.21,2017,2020
SLM001,1.180781479978905,38.289,-121.118,2013,2020
US-AR1,1.0760530404244826,36.4267,-99.42,2009,2011
US-Bi1,0.9697884208020213,38.0991537999999,-121.49933,2017,2019
US-Bi2,0.9655723862602047,38.109,-121.535,2017,2020
US-Bkg,1.2795192765045922,44.34529,-96.83617,2004,2009
US-Bo1,1.1561395631747642,40.0062,-88.2904,2001,2007
US-Br1,1.2010204723834812,41.9749,-93.6906,2005,2011
US-Br3,1.1704873475899478,41.97472,-93.69357,2005,2011
US-Dk1,1.07121092952148,35.9712,-79.09338,2007,2007
US-KLS,0.974326034468366,38.7745,-97.5684,2017,2017
US-Mj1,1.1004855101442084,46.99475,-109.61375,2013,2013
US-Mj2,0.928877873521218,46.9957,-109.6295,2014,2014
US-OF1,1.0739987256189365,35.7370669999999,-90.0492,2017,2017
US-OF2,0.9721436665765738,35.7406,-90.0489,2017,2017
US-OF4,1.0095340284110748,35.734346,-90.037982,2018,2018
US-OF6,1.0347505451113663,35.729972,-90.0403329999999,2018,2018
US-Ro1,1.0465088583036195,44.7143,-93.0898,2004,2016
US-Ro2,0.9635131025079965,44.7288,-93.0888,2015,2016
US-Ro5,1.0132359166847151,44.691,-93.0576,2017,2020
US-Ro6,0.9608705024675007,44.6946,-93.05776,2017,2020
US-Tw2,1.043310044239821,38.1047,-121.6433,2012,2012
US-Tw3,0.9445078823395664,38.1159,-121.6467,2013,2017
US-Twt,1.017962217570036,38.1087203999999,-121.6531,2009,2016
US-xSL,1.0725203238184928,40.4619,-103.0293,2017,2017
