STATION_ID,STATION_LAT,STATION_LON,start_year,end_year,Irrigation Fraction,Irrigated,Irrigation,Crop Type,Corrected ETo bias ratio
Almond_High,36.169669,-120.201004,2017,2019,100.0,Irrigated,"high, > 75 %",Other,0.7489557112651098
Almond_Low,36.946608,-120.10237,2017,2019,100.0,Irrigated,"high, > 75 %",Other,0.8348702524563525
Almond_Med,36.177669,-120.202644999999,2017,2019,100.0,Irrigated,"high, > 75 %",Other,0.7342933860537699
BAR012,38.751,-122.975,2017,2020,100.0,Irrigated,"high, > 75 %",Other,0.8717233831718351
RIP760,36.839,-120.21,2017,2020,100.0,Irrigated,"high, > 75 %",Other,0.7710751603408964
SLM001,38.289,-121.118,2013,2020,100.0,Irrigated,"high, > 75 %",Other,0.8468967518171655
US-Bi1,38.0991537999999,-121.49933,2017,2019,100.0,Irrigated,"high, > 75 %",Other,1.0311527530644196
US-Bi2,38.109,-121.535,2017,2020,100.0,Irrigated,"high, > 75 %",Corn,1.0356551349538259
US-Mj1,46.99475,-109.61375,2013,2013,2.52,Irrigated,"low, < 25 %",Alfalfa,0.9086898380597118
US-Mj2,46.9957,-109.6295,2014,2014,0.24,Irrigated,"low, < 25 %",Alfalfa,1.0765677905634357
US-Tw2,38.1047,-121.6433,2012,2012,100.0,Irrigated,"high, > 75 %",Corn,0.9584878488624369
US-Tw3,38.1159,-121.6467,2013,2017,100.0,Irrigated,"high, > 75 %",Corn,1.0587524135033985
US-Twt,38.1087204,-121.6531,2009,2016,100.0,Irrigated,"high, > 75 %",Corn,0.9823547305980438
