STATION_ID,STATION_LAT,STATION_LON,start_year,end_year,Irrigated,Crop Type,Corrected ETo bias ratio
Ellendale,29.633321,-90.827662,2019,2019,Non-Irrigated,Other,1.1657102031565945
US-AR1,36.4267,-99.42,2009,2011,Non-Irrigated,Other,0.9293222196607697
US-Bkg,44.34529,-96.83617,2004,2009,Non-Irrigated,Corn,0.7815435205726743
US-Bo1,40.0062,-88.2904,2001,2007,Non-Irrigated,Corn,0.8649474785327783
US-Br1,41.9749,-93.6906,2005,2011,Non-Irrigated,Corn,0.8326252740850065
US-Br3,41.97472,-93.69357,2005,2011,Non-Irrigated,Corn,0.8543449889133924
US-Dk1,35.9712,-79.09338,2007,2007,Non-Irrigated,Other,0.9335229621366068
US-KLS,38.7745,-97.5684,2017,2017,Non-Irrigated,Other,1.026350487027315
US-OF1,35.737067,-90.0492,2017,2017,Non-Irrigated,Other,0.9310998012811499
US-OF2,35.7406,-90.0489,2017,2017,Non-Irrigated,Other,1.0286545439539023
US-OF4,35.734346,-90.037982,2018,2018,Non-Irrigated,Cotton,0.9905560108497972
US-OF6,35.729972,-90.040333,2018,2018,Non-Irrigated,Other,0.9664164998264134
US-Ro1,44.7143,-93.0898,2004,2016,Non-Irrigated,Corn,0.9555580844494619
US-Ro2,44.7288,-93.0888,2015,2016,Non-Irrigated,Corn,1.0378686054159816
US-Ro5,44.691,-93.0576,2017,2020,Non-Irrigated,Corn,0.9869369843027054
US-Ro6,44.6946,-93.05776,2017,2020,Non-Irrigated,Corn,1.0407229667598448
US-xSL,40.4619,-103.0293,2017,2017,Non-Irrigated,Other,0.9323832637872085
