STATION_ID,summer_mean,STATION_LAT,STATION_LON,start_year,end_year,NLCD_Ag Count,CDL_Ag Count,IrrMapper Count,LANID Count,CDL Unmasked,CDL IrrMapper,CDL LANID,IrrMapper Fraction,LANID Fraction,NLCD_Ag Fraction,CDL_Ag Fraction,CDL,Crop Type,Irrigation Fraction,Irrigation,NLCD Agriculture,CDL Agriculture
Almond_High,1.3351924352253552,36.169669,-120.201004,2017,2019,8299.0,4780.0,7682.0,4757.0,74.0,74.0,74.0,1.0,1.0,100.0,100.0,74.0,Other,100.0,"high, > 75 %","high, > 75 %","high, > 75 %"
Almond_Low,1.1977909106927733,36.946608,-120.10237,2017,2019,4533.0,3935.0,5140.0,2591.0,68.0,68.0,69.0,1.0,1.0,100.0,100.0,68.0,Other,100.0,"high, > 75 %","high, > 75 %","high, > 75 %"
Almond_Med,1.3618534757260816,36.177669,-120.202644999999,2017,2019,9232.0,6437.0,8622.0,6064.0,75.0,75.0,75.0,1.0,1.0,100.0,100.0,75.0,Other,100.0,"high, > 75 %","high, > 75 %","high, > 75 %"
BAR012,1.1471528919660503,38.751,-122.975,2017,2020,1582.0,3041.0,4013.0,49.0,69.0,69.0,69.0,1.0,0.0196,63.28,100.0,69.0,Other,100.0,"high, > 75 %","medium, [25-75] %","high, > 75 %"
Ellendale,0.857846141598596,29.633321,-90.827662,2019,2019,5218.0,3747.0,0.0,0.0,44.0,-9999.0,-9999.0,0.0,0.0,100.0,100.0,44.0,Other,0.0,"low, < 25 %","high, > 75 %","high, > 75 %"
RIP760,1.296890434854489,36.839,-120.21,2017,2020,9289.0,7538.0,9469.0,8211.0,69.0,69.0,69.0,1.0,1.0,100.0,100.0,69.0,Other,100.0,"high, > 75 %","high, > 75 %","high, > 75 %"
SLM001,1.180781479978905,38.289,-121.118,2013,2020,9494.0,4022.0,8267.0,323.0,68.0,68.0,69.0,1.0,0.1292,100.0,100.0,68.0,Other,100.0,"high, > 75 %","high, > 75 %","high, > 75 %"
US-AR1,1.0760530404244826,36.4267,-99.42,2009,2011,556.0,355.0,0.0,0.0,175.0,-9999.0,-9999.0,0.0,0.0,22.24,14.2,175.0,Other,0.0,"low, < 25 %","low, < 25 %","low, < 25 %"
US-Bi1,0.9697884208020213,38.0991537999999,-121.49933,2017,2019,8115.0,6025.0,7956.0,7251.0,35.0,35.0,35.0,1.0,1.0,100.0,100.0,35.0,Other,100.0,"high, > 75 %","high, > 75 %","high, > 75 %"
US-Bi2,0.9655723862602047,38.109,-121.535,2017,2020,8878.0,6873.0,8917.0,7628.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.0,Corn,100.0,"high, > 75 %","high, > 75 %","high, > 75 %"
US-Bkg,1.2795192765045922,44.34529,-96.83617,2004,2009,7379.0,4861.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,0.0,100.0,100.0,1.0,Corn,0.0,"low, < 25 %","high, > 75 %","high, > 75 %"
US-Bo1,1.1561395631747642,40.0062,-88.2904,2001,2007,9267.0,6995.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,0.0,100.0,100.0,1.0,Corn,0.0,"low, < 25 %","high, > 75 %","high, > 75 %"
US-Br1,1.2010204723834812,41.9749,-93.6906,2005,2011,9850.0,7042.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,0.0,100.0,100.0,1.0,Corn,0.0,"low, < 25 %","high, > 75 %","high, > 75 %"
US-Br3,1.1704873475899478,41.97472,-93.69357,2005,2011,9851.0,7027.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,0.0,100.0,100.0,1.0,Corn,0.0,"low, < 25 %","high, > 75 %","high, > 75 %"
US-Dk1,1.07121092952148,35.9712,-79.09338,2007,2007,0.0,93.0,0.0,0.0,141.0,-9999.0,-9999.0,0.0,0.0,0.0,3.7199999999999998,141.0,Other,0.0,"low, < 25 %","low, < 25 %","low, < 25 %"
US-KLS,0.974326034468366,38.7745,-97.5684,2017,2017,2446.0,1873.0,0.0,0.0,176.0,-9999.0,-9999.0,0.0,0.0,97.84,74.92,176.0,Other,0.0,"low, < 25 %","high, > 75 %","medium, [25-75] %"
US-Mj1,1.1004855101442084,46.99475,-109.61375,2013,2013,9309.0,4746.0,63.0,6.0,24.0,36.0,36.0,0.0252,0.0024,100.0,100.0,36.0,Alfalfa,2.52,"low, < 25 %","high, > 75 %","high, > 75 %"
US-Mj2,0.928877873521218,46.9957,-109.6295,2014,2014,10396.0,5623.0,6.0,0.0,24.0,36.0,-9999.0,0.0024,0.0,100.0,100.0,36.0,Alfalfa,0.24,"low, < 25 %","high, > 75 %","high, > 75 %"
US-OF1,1.0739987256189365,35.737067,-90.0492,2017,2017,9352.0,7524.0,0.0,7787.0,2.0,-9999.0,3.0,0.0,1.0,100.0,100.0,3.0,Other,0.0,"low, < 25 %","high, > 75 %","high, > 75 %"
US-OF2,0.9721436665765738,35.7406,-90.0489,2017,2017,9345.0,7547.0,0.0,7723.0,2.0,-9999.0,3.0,0.0,1.0,100.0,100.0,3.0,Other,0.0,"low, < 25 %","high, > 75 %","high, > 75 %"
US-OF4,1.0095340284110748,35.734346,-90.037982,2018,2018,9105.0,6999.0,0.0,7007.0,4.0,-9999.0,2.0,0.0,1.0,100.0,100.0,2.0,Cotton,0.0,"low, < 25 %","high, > 75 %","high, > 75 %"
US-OF6,1.0347505451113663,35.729972,-90.040333,2018,2018,9061.0,6886.0,0.0,6529.0,4.0,-9999.0,3.0,0.0,1.0,100.0,100.0,3.0,Other,0.0,"low, < 25 %","high, > 75 %","high, > 75 %"
US-Ro1,1.0465088583036195,44.7143,-93.0898,2004,2016,8168.0,4783.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,0.0,100.0,100.0,1.0,Corn,0.0,"low, < 25 %","high, > 75 %","high, > 75 %"
US-Ro2,0.9635131025079965,44.7288,-93.0888,2015,2016,4572.0,3804.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,0.0,100.0,100.0,1.0,Corn,0.0,"low, < 25 %","high, > 75 %","high, > 75 %"
US-Ro5,1.0132359166847151,44.691,-93.0576,2017,2020,6752.0,4158.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,0.0,100.0,100.0,1.0,Corn,0.0,"low, < 25 %","high, > 75 %","high, > 75 %"
US-Ro6,0.9608705024675007,44.6946,-93.05776,2017,2020,7503.0,4495.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,0.0,100.0,100.0,1.0,Corn,0.0,"low, < 25 %","high, > 75 %","high, > 75 %"
US-Tw2,1.043310044239821,38.1047,-121.6433,2012,2012,8801.0,6715.0,8509.0,4450.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.0,Corn,100.0,"high, > 75 %","high, > 75 %","high, > 75 %"
US-Tw3,0.9445078823395664,38.1159,-121.6467,2013,2017,9581.0,5977.0,9619.0,4750.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.0,Corn,100.0,"high, > 75 %","high, > 75 %","high, > 75 %"
US-Twt,1.017962217570036,38.1087204,-121.6531,2009,2016,9288.0,5899.0,9395.0,2028.0,1.0,1.0,36.0,1.0,0.8112,100.0,100.0,1.0,Corn,100.0,"high, > 75 %","high, > 75 %","high, > 75 %"
US-xSL,1.0725203238184928,40.4619,-103.0293,2017,2017,8585.0,3305.0,0.0,0.0,61.0,-9999.0,-9999.0,0.0,0.0,100.0,100.0,61.0,Other,0.0,"low, < 25 %","high, > 75 %","high, > 75 %"
