STATION_ID,STATION_LAT,STATION_LON,start_year,end_year,Irrigation Fraction,Irrigated,Irrigation,Crop Type,Uncorrected ETo bias ratio
Almond_High,36.169669,-120.201004,2017,2019,100.0,Irrigated,"high, > 75 %",Other,0.7558953840163991
Almond_Low,36.946608,-120.10237,2017,2019,100.0,Irrigated,"high, > 75 %",Other,0.7306927566340237
Almond_Med,36.177669,-120.202644999999,2017,2019,100.0,Irrigated,"high, > 75 %",Other,0.738787953330803
BAR012,38.751,-122.975,2017,2020,100.0,Irrigated,"high, > 75 %",Other,0.6624719235147275
Ellendale,29.633321,-90.827662,2019,2019,0.0,Non-Irrigated,"low, < 25 %",Other,0.9927638944807867
RIP760,36.839,-120.21,2017,2020,100.0,Irrigated,"high, > 75 %",Other,0.6822177884767384
SLM001,38.289,-121.118,2013,2020,100.0,Irrigated,"high, > 75 %",Other,0.7210090459464348
US-AR1,36.4267,-99.42,2009,2011,0.0,Non-Irrigated,"low, < 25 %",Other,0.9064345564718854
US-Bi1,38.0991537999999,-121.49933,2017,2019,100.0,Irrigated,"high, > 75 %",Other,0.884679155138561
US-Bi2,38.109,-121.535,2017,2020,100.0,Irrigated,"high, > 75 %",Corn,0.8914239729267682
US-Bkg,44.34529,-96.83617,2004,2009,0.0,Non-Irrigated,"low, < 25 %",Corn,0.6951327176984629
US-Bo1,40.0062,-88.2904,2001,2007,0.0,Non-Irrigated,"low, < 25 %",Corn,0.7548620912253321
US-Br1,41.9749,-93.6906,2005,2011,0.0,Non-Irrigated,"low, < 25 %",Corn,0.7315711471929693
US-Br3,41.97472,-93.69357,2005,2011,0.0,Non-Irrigated,"low, < 25 %",Corn,0.7454691638154118
US-Dk1,35.9712,-79.09338,2007,2007,0.0,Non-Irrigated,"low, < 25 %",Other,0.802270448593562
US-KLS,38.7745,-97.5684,2017,2017,0.0,Non-Irrigated,"low, < 25 %",Other,0.8990371702105161
US-Mj1,46.99475,-109.61375,2013,2013,2.52,Irrigated,"low, < 25 %",Alfalfa,0.8525371065409848
US-Mj2,46.9957,-109.6295,2014,2014,0.24,Irrigated,"low, < 25 %",Alfalfa,1.0209218685016195
US-OF1,35.737067,-90.0492,2017,2017,0.0,Non-Irrigated,"low, < 25 %",Other,0.8145409076183076
US-OF2,35.7406,-90.0489,2017,2017,0.0,Non-Irrigated,"low, < 25 %",Other,0.8663901182219725
US-OF4,35.734346,-90.037982,2018,2018,0.0,Non-Irrigated,"low, < 25 %",Cotton,0.8608909465882607
US-OF6,35.729972,-90.040333,2018,2018,0.0,Non-Irrigated,"low, < 25 %",Other,0.8738931506149582
US-Ro1,44.7143,-93.0898,2004,2016,0.0,Non-Irrigated,"low, < 25 %",Corn,0.8177129930367735
US-Ro2,44.7288,-93.0888,2015,2016,0.0,Non-Irrigated,"low, < 25 %",Corn,0.888133832540454
US-Ro5,44.691,-93.0576,2017,2020,0.0,Non-Irrigated,"low, < 25 %",Corn,0.8479653684795605
US-Ro6,44.6946,-93.05776,2017,2020,0.0,Non-Irrigated,"low, < 25 %",Corn,0.8953387186728045
US-Tw2,38.1047,-121.6433,2012,2012,100.0,Irrigated,"high, > 75 %",Corn,0.8700896346739978
US-Tw3,38.1159,-121.6467,2013,2017,100.0,Irrigated,"high, > 75 %",Corn,0.959128235436104
US-Twt,38.1087204,-121.6531,2009,2016,100.0,Irrigated,"high, > 75 %",Corn,0.8924323455290012
US-xSL,40.4619,-103.0293,2017,2017,0.0,Non-Irrigated,"low, < 25 %",Other,0.9395416782808085
