STATION_ID,STATION_LAT,STATION_LON,start_year,end_year,Irrigated,Crop Type,Uncorrected ETo bias ratio
Ellendale,29.633321,-90.827662,2019,2019,Non-Irrigated,Other,0.9927638944807867
US-AR1,36.4267,-99.42,2009,2011,Non-Irrigated,Other,0.9064345564718854
US-Bkg,44.34529,-96.83617,2004,2009,Non-Irrigated,Corn,0.6951327176984629
US-Bo1,40.0062,-88.2904,2001,2007,Non-Irrigated,Corn,0.7548620912253321
US-Br1,41.9749,-93.6906,2005,2011,Non-Irrigated,Corn,0.7315711471929693
US-Br3,41.97472,-93.69357,2005,2011,Non-Irrigated,Corn,0.7454691638154118
US-Dk1,35.9712,-79.09338,2007,2007,Non-Irrigated,Other,0.802270448593562
US-KLS,38.7745,-97.5684,2017,2017,Non-Irrigated,Other,0.8990371702105161
US-OF1,35.737067,-90.0492,2017,2017,Non-Irrigated,Other,0.8145409076183076
US-OF2,35.7406,-90.0489,2017,2017,Non-Irrigated,Other,0.8663901182219725
US-OF4,35.734346,-90.037982,2018,2018,Non-Irrigated,Cotton,0.8608909465882607
US-OF6,35.729972,-90.040333,2018,2018,Non-Irrigated,Other,0.8738931506149582
US-Ro1,44.7143,-93.0898,2004,2016,Non-Irrigated,Corn,0.8177129930367735
US-Ro2,44.7288,-93.0888,2015,2016,Non-Irrigated,Corn,0.888133832540454
US-Ro5,44.691,-93.0576,2017,2020,Non-Irrigated,Corn,0.8479653684795605
US-Ro6,44.6946,-93.05776,2017,2020,Non-Irrigated,Corn,0.8953387186728045
US-xSL,40.4619,-103.0293,2017,2017,Non-Irrigated,Other,0.9395416782808085
