SITE_ID,version,corr_uncorr_type_corr,flux_calc,openet_model,r2_corr,MAE_corr,MBE_corr,Latitude,Longitude,corr_uncorr_type_uncorr,r2_uncorr,MAE_uncorr,MBE_uncorr,r2_diff,MAE_diff,MBE_diff
Almond_High,v3,corr,Closed,EEMETRIC,0.6825430102884616,1.2387369012048104,0.4717307690911899,36.169669,-120.201004,uncorr,0.6937902869098423,1.2589089099933313,0.6264545696029167,-0.011247276621380697,-0.02017200878852088,-0.1547238005117268
Almond_Med,v3,corr,Closed,EEMETRIC,0.7310742775788217,1.4298637316252043,0.8063641519288617,36.177669,-120.202644999999,uncorr,0.7445789960646896,1.4586602397766444,0.9641021712307531,-0.013504718485867873,-0.02879650815144008,-0.15773801930189146
BAR012,v3,corr,Closed,EEMETRIC,0.4750713893096145,1.0646440736686258,0.4313468385732726,38.751,-122.975,uncorr,0.4545419821515068,1.1966956727158864,-0.2182790400339449,0.020529407158107693,-0.1320515990472606,0.6496258786072175
RIP760,v3,corr,Closed,EEMETRIC,0.4597312796961025,1.1336790543498032,-0.2073460026539103,36.839,-120.21,uncorr,0.4530955060657456,1.284667744729752,-0.7906436551791334,0.006635773630356889,-0.1509886903799489,0.5832976525252231
US-AR1,v3,corr,Closed,EEMETRIC,0.4167242757858659,1.1148291336483926,-0.7607469548157418,36.4267,-99.42,uncorr,0.4269905864377109,1.1424874540894825,-0.7984883702460227,-0.010266310651844968,-0.027658320441089845,0.03774141543028087
US-Bi1,v3,corr,Closed,EEMETRIC,0.7917672284434609,0.7409783852218101,0.1889322248044319,38.0991537999999,-121.49933,uncorr,0.7754420621026158,0.8902725481276396,-0.2603686294712689,0.016325166340845132,-0.14929416290582942,0.44930085427570077
US-Bi2,v3,corr,Closed,EEMETRIC,0.7608968579559795,0.8635876268586415,0.1070302439249988,38.109,-121.535,uncorr,0.76244836539566,1.0189558298210764,-0.2975259658243391,-0.0015515074396804662,-0.1553682029624348,0.4045562097493379
US-Bkg,v3,corr,Closed,EEMETRIC,0.5800722711494456,1.076186044073649,0.2767361494206193,44.34529,-96.83617,uncorr,0.5525794482183048,1.1923416165226135,-0.11490076277112,0.027492822931140748,-0.11615557244896446,0.3916369121917393
US-Bo1,v3,corr,Closed,EEMETRIC,0.6178951365601577,0.8559350106515132,0.1099581533457015,40.0062,-88.2904,uncorr,0.6153123313078624,0.9747338628622974,-0.1860387052193549,0.0025828052522952616,-0.11879885221078412,0.2959968585650564
US-Br1,v3,corr,Closed,EEMETRIC,0.7446039695572734,0.8762647687157367,0.3285361804387096,41.9749,-93.6906,uncorr,0.7117767198212629,0.9504033762720098,-0.1559433226667121,0.03282724973601048,-0.0741386075562731,0.48447950310542165
