SITE_ID,version,corr_uncorr_type_corr,flux_calc,openet_model,r2_corr,MAE_corr,MBE_corr,Latitude,Longitude,corr_uncorr_type_uncorr,r2_uncorr,MAE_uncorr,MBE_uncorr,r2_diff,MAE_diff,MBE_diff
Almond_High,v3,corr,Closed,SIMS,0.794778776554057,0.8994145367313099,0.2236608648955573,36.169669,-120.201004,uncorr,0.7931651100587243,0.963821288440057,0.365343458840579,0.0016136664953327884,-0.0644067517087471,-0.1416825939450217
Almond_Low,v3,corr,Closed,SIMS,0.7577505532029496,1.3457177224017849,0.9277946888592856,36.946608,-120.10237,uncorr,0.7535889068993415,1.1315405905210647,0.3496214043055126,0.0041616463036080464,0.21417713188072018,0.578173284553773
BAR012,v3,corr,Closed,SIMS,0.7870694254727306,0.4851884543986226,-0.1343763130043383,38.751,-122.975,uncorr,0.7718583661529516,1.003465059824442,-0.942521692219844,0.015211059319779063,-0.5182766054258192,0.8081453792155058
Ellendale,v3,corr,Closed,SIMS,0.6077840629956733,1.2595900019782638,1.1707793320540971,29.633321,-90.827662,uncorr,0.5889604143596566,1.0983665396984943,0.7787523685238791,0.01882364863601671,0.16122346227976947,0.39202696353021804
US-Bi1,v3,corr,Closed,SIMS,0.7941368326387456,0.7382993714418598,0.0644177153026011,38.0991537999999,-121.49933,uncorr,0.7678715422421967,0.8766646376052409,-0.4004433796603229,0.0262652903965489,-0.13836526616338118,0.464861094962924
US-Bi2,v3,corr,Closed,SIMS,0.7977446234474481,0.8066600634032745,0.3112023904435659,38.109,-121.535,uncorr,0.7949701993069322,0.9586876478093156,-0.0851843550867327,0.0027744241405158743,-0.15202758440604114,0.3963867455302986
US-Bkg,v3,corr,Closed,SIMS,0.7173799445625428,0.9300900004167668,0.6508877234154667,44.34529,-96.83617,uncorr,0.6945330104097501,0.8601485399050698,0.3189258086834542,0.02284693415279271,0.06994146051169703,0.33196191473201253
US-Bo1,v3,corr,Closed,SIMS,0.7308260885326625,0.7588875743113229,0.5205005654482329,40.0062,-88.2904,uncorr,0.7299049717965521,0.7397223291846857,0.2843725905734345,0.0009211167361103945,0.019165245126637198,0.23612797487479836
US-Br1,v3,corr,Closed,SIMS,0.6860626932323934,1.0983137591495171,0.9682373618917572,41.9749,-93.6906,uncorr,0.6742326914453786,1.0019776145406951,0.6134834545356859,0.011830001787014877,0.096336144608822,0.3547539073560714
US-Br3,v3,corr,Closed,SIMS,0.6497410142566372,0.9884081924697434,0.7810732819869528,41.97472,-93.69357,uncorr,0.6428942141171805,0.954765617320269,0.42440584375434,0.00684680013945671,0.03364257514947444,0.3566674382326128
US-KLS,v3,corr,Closed,SIMS,0.5503404727750806,1.0680988931669722,0.0574053150839161,38.7745,-97.5684,uncorr,0.5430156188518975,1.1161044305608934,-0.2139278553236627,0.00732485392318305,-0.048005537393921216,0.2713331704075788
US-OF4,v3,corr,Closed,SIMS,0.1398945673171594,1.877646461719829,1.877646461719829,35.734346,-90.037982,uncorr,0.1398944354851091,1.4693403564833811,1.1165604215921412,1.3183205030409262e-07,0.40830610523644784,0.7610860401276878
US-Ro1,v3,corr,Closed,SIMS,0.6954110069661449,1.0352813397040403,0.7549656996331707,44.7143,-93.0898,uncorr,0.6674919379458765,1.0023774458365813,0.2351465765686653,0.027919069020268417,0.032903893867459066,0.5198191230645054
US-Ro2,v3,corr,Closed,SIMS,0.598004157027272,0.9058490423584584,0.4881840940685654,44.7288,-93.0888,uncorr,0.5263109945150919,0.8354107463977208,-0.1167006116589577,0.07169316251218016,0.07043829596073758,0.6048847057275231
US-Ro3,v3,corr,Closed,SIMS,0.8224893441191604,0.6924388429359393,0.5308136667959249,44.7217,-93.0893,uncorr,0.7962476812133665,0.656158265341554,0.0720408172104421,0.026241662905793883,0.0362805775943853,0.4587728495854828
US-Ro6,v3,corr,Closed,SIMS,0.6635354378103357,1.0885311859290774,0.5346601143315209,44.6946,-93.05776,uncorr,0.6010766532018961,1.055036477058206,0.1708302708478367,0.06245878460843968,0.03349470887087147,0.36382984348368425
US-Tw2,v3,corr,Closed,SIMS,0.5239177810710943,1.0029858580281676,-0.0883460871410775,38.1047,-121.6433,uncorr,0.498827774358949,1.268735578812121,-0.4231193270123545,0.02509000671214534,-0.2657497207839534,0.334773239871277
US-Tw3,v3,corr,Closed,SIMS,0.826831376261473,0.7887725646435794,-0.5680860660882588,38.1159,-121.6467,uncorr,0.8076443129948053,0.965026663411722,-0.8132552616961519,0.019187063266667637,-0.1762540987681427,0.24516919560789308
