SITE_ID,version,corr_uncorr_type_corr,flux_calc,openet_model,r2_corr,MAE_corr,MBE_corr,Latitude,Longitude,corr_uncorr_type_uncorr,r2_uncorr,MAE_uncorr,MBE_uncorr,r2_diff,MAE_diff,MBE_diff
Almond_Low,v3,corr,Closed,SSEBOP,0.767027864432941,1.136510875801463,0.4985829242393519,36.946608,-120.10237,uncorr,0.7606862148759408,1.1776594694322216,-0.1446215285472735,0.0063416495570002285,-0.04114859363075851,0.6432044527866254
BAR012,v3,corr,Closed,SSEBOP,0.6218281307721224,0.9947795737303988,-0.7472963125258025,38.751,-122.975,uncorr,0.5800411256467419,1.8506546944623012,-1.768419089319044,0.04178700512538047,-0.8558751207319024,1.0211227767932414
RIP760,v3,corr,Closed,SSEBOP,0.6233720699737021,1.3162651108529009,-1.1533528552556898,36.839,-120.21,uncorr,0.6183200998396955,1.90768835800094,-1.851306439018516,0.0050519701340066,-0.5914232471480392,0.6979535837628263
SLM001,v3,corr,Closed,SSEBOP,0.8046573936357672,0.9345862817761094,-0.8221528465824893,38.289,-121.118,uncorr,0.8054780039905579,1.500983978249239,-1.439441742901285,-0.0008206103547907517,-0.5663976964731295,0.6172888963187956
US-AR1,v3,corr,Closed,SSEBOP,0.4084371705226557,1.3635674589435365,-1.127058758188286,36.4267,-99.42,uncorr,0.4157120200439091,1.4016108818282813,-1.1719930093266395,-0.0072748495212534015,-0.038043422884744826,0.044934251138353476
US-Bi2,v3,corr,Closed,SSEBOP,0.7585969102837822,1.035362967402455,0.6895426009895942,38.109,-121.535,uncorr,0.7601939585556332,1.0788291975827686,0.3420419159993924,-0.0015970482718510315,-0.0434662301803137,0.3475006849902018
US-Bo1,v3,corr,Closed,SSEBOP,0.6951903961452766,0.8068112551748782,0.4840889111839337,40.0062,-88.2904,uncorr,0.6900015808211581,0.8627828333884562,0.2346893053386513,0.005188815324118412,-0.05597157821357801,0.24939960584528242
US-Br3,v3,corr,Closed,SSEBOP,0.6748787788606092,1.0736730242083194,0.851630637003082,41.97472,-93.69357,uncorr,0.6684127685648873,1.086053281222555,0.5037850879680064,0.0064660102957219134,-0.012380257014235507,0.3478455490350756
US-KLS,v3,corr,Closed,SSEBOP,0.4726654328291903,1.1531453768897144,-0.1327328285644619,38.7745,-97.5684,uncorr,0.4626633491433681,1.254523496173696,-0.4235218080860692,0.010002083685822227,-0.10137811928398155,0.2907889795216073
US-Mj1,v3,corr,Closed,SSEBOP,0.4870522843361236,0.9582885931859147,-0.0030832500845355,46.99475,-109.61375,uncorr,0.517304785494517,0.958664516147005,-0.1558041725900153,-0.030252501158393397,-0.00037592296109023593,0.1527209225054798
US-Ro1,v3,corr,Closed,SSEBOP,0.6380821897751192,1.146721380964776,0.6025977144343818,44.7143,-93.0898,uncorr,0.5988875807820283,1.292322956500949,0.0307527377827053,0.03919460899309091,-0.14560157553617303,0.5718449766516766
US-Ro3,v3,corr,Closed,SSEBOP,0.7785496802197901,0.774404798807416,0.5696389343871451,44.7217,-93.0893,uncorr,0.7477268200781455,0.8536170661829684,0.1064063662022405,0.030822860141644592,-0.07921226737555243,0.46323256818490455
US-Tw2,v3,corr,Closed,SSEBOP,0.4015444534919638,1.469973284017864,0.8091215798505802,38.1047,-121.6433,uncorr,0.4006489107622369,1.6231939209127555,0.5667101270939435,0.000895542729726917,-0.1532206368948914,0.24241145275663667
US-Tw3,v3,corr,Closed,SSEBOP,0.7683455097574412,0.9407773648847836,0.3143686533005154,38.1159,-121.6467,uncorr,0.7557227870739764,1.0041873068268117,0.1092736823250931,0.01262272268346476,-0.06340994194202809,0.20509497097542229
US-Twt,v3,corr,Closed,SSEBOP,0.8392654645974189,1.1313417617065415,-0.5550788573507037,38.1087203999999,-121.6531,uncorr,0.8457676509867904,1.4050043736015487,-0.9068576842671758,-0.0065021863893715,-0.2736626118950072,0.3517788269164721
