SITE_ID,version,corr_uncorr_type_corr,flux_calc,openet_model,r2_corr,MAE_corr,MBE_corr,Latitude,Longitude,corr_uncorr_type_uncorr,r2_uncorr,MAE_uncorr,MBE_uncorr,r2_diff,MAE_diff,MBE_diff
Almond_High,v3,corr,Closed,ensemble_mean,0.801382185092784,0.8920523556240307,0.1154646211418087,36.169669,-120.201004,uncorr,0.8000422571577894,0.9018370850438988,0.1961042721608758,0.0013399279349946003,-0.009784729419868077,-0.08063965101906712
Almond_Med,v3,corr,Closed,ensemble_mean,0.8283169763872008,1.0721735388520146,0.4485760401874397,36.177669,-120.202644999999,uncorr,0.829303137903637,1.077226779502468,0.5282848709284809,-0.000986161516436157,-0.005053240650453317,-0.07970883074104118
BAR012,v3,corr,Closed,ensemble_mean,0.7595515419351354,0.573782893921085,-0.2158296909587304,38.751,-122.975,uncorr,0.7240511989397668,0.7802534698931926,-0.557443877251294,0.03550034299536864,-0.2064705759721076,0.34161418629256357
SLM001,v3,corr,Closed,ensemble_mean,0.8559541356858633,0.5803789229382551,-0.1459180877263357,38.289,-121.118,uncorr,0.8540611287505556,0.6032614169506406,-0.2924370531232786,0.001893006935307695,-0.022882494012385513,0.14651896539694292
US-AR1,v3,corr,Closed,ensemble_mean,0.6531926478228686,0.8364281157258583,-0.6866684436238403,36.4267,-99.42,uncorr,0.6544029727037275,0.8555630667169738,-0.7075973190383558,-0.0012103248808589262,-0.019134950991115507,0.02092887541451549
US-Bo1,v3,corr,Closed,ensemble_mean,0.7304958907085611,0.6921333962306397,0.2191057960082274,40.0062,-88.2904,uncorr,0.7416855729204177,0.7129070092748248,0.0518783074640944,-0.011189682211856566,-0.020773613044185013,0.167227488544133
US-KLS,v3,corr,Closed,ensemble_mean,0.4822555096132068,1.093273193283807,-0.0640453775095674,38.7745,-97.5684,uncorr,0.4730229559745969,1.1210289015348929,-0.2149856316467442,0.009232553638609864,-0.027755708251085975,0.1509402541371768
US-Tw2,v3,corr,Closed,ensemble_mean,0.5758984112197427,0.8343865167236842,0.4085581773912629,38.1047,-121.6433,uncorr,0.5322624952150473,0.8764180690702776,0.1677440266601991,0.04363591600469541,-0.04203155234659339,0.24081415073106377
US-Tw3,v3,corr,Closed,ensemble_mean,0.8316245487013579,0.6299978858929166,0.1342135799742695,38.1159,-121.6467,uncorr,0.8318142043440915,0.6311542596744283,0.0264149740891614,-0.00018965564273354385,-0.001156373781511677,0.10779860588510809
US-Twt,v3,corr,Closed,ensemble_mean,0.8795584359999519,0.7006747065584682,-0.0891892624173104,38.1087203999999,-121.6531,uncorr,0.8787464294689525,0.7329656615167688,-0.2319249305151235,0.0008120065309993318,-0.03229095495830059,0.1427356680978131
