SITE_ID,version,corr_uncorr_type,flux_calc,openet_model,r2,MAE,MBE,Latitude,Longitude
Almond_High,v3,corr,Closed,EEMETRIC,0.6825430102884616,1.2387369012048104,0.4717307690911899,36.169669,-120.201004
Almond_High,v3,corr,Closed,SSEBOP,0.7529391842434879,1.0703291418906975,-0.677913608858165,36.169669,-120.201004
Almond_High,v3,corr,Closed,SIMS,0.794778776554057,0.8994145367313099,0.2236608648955573,36.169669,-120.201004
Almond_High,v3,corr,Closed,GEESEBAL,0.7628901892120855,1.0869204514273367,0.4961349551432185,36.169669,-120.201004
Almond_High,v3,corr,Closed,PTJPL,0.7974377174446188,0.981502090767058,-0.127720473334474,36.169669,-120.201004
Almond_High,v3,corr,Closed,DISALEXI,0.7756131627895605,0.920486845995725,-0.0335365415467655,36.169669,-120.201004
Almond_High,v3,corr,Closed,ensemble_mean,0.801382185092784,0.8920523556240307,0.1154646211418087,36.169669,-120.201004
Almond_Low,v3,corr,Closed,EEMETRIC,0.7741063132620676,1.228823368499141,0.7999927616780732,36.946608,-120.10237
Almond_Low,v3,corr,Closed,SSEBOP,0.767027864432941,1.136510875801463,0.4985829242393519,36.946608,-120.10237
Almond_Low,v3,corr,Closed,SIMS,0.7577505532029496,1.3457177224017849,0.9277946888592856,36.946608,-120.10237
Almond_Low,v3,corr,Closed,GEESEBAL,0.807827417808507,1.3310666478746431,1.0610604990191346,36.946608,-120.10237
Almond_Low,v3,corr,Closed,PTJPL,0.7878774402429093,1.3457061121310852,0.8786063098171554,36.946608,-120.10237
Almond_Low,v3,corr,Closed,DISALEXI,0.8040982744350952,1.3382782167800455,1.0507586178529975,36.946608,-120.10237
Almond_Low,v3,corr,Closed,ensemble_mean,0.8342777919808865,1.189478732464335,0.8935151573804372,36.946608,-120.10237
Almond_Med,v3,corr,Closed,EEMETRIC,0.7310742775788217,1.4298637316252043,0.8063641519288617,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,SSEBOP,0.8160394937405258,0.988038695736946,-0.3793189466384939,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,SIMS,0.8070320786627442,1.0616258099936593,0.5416930971699594,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,GEESEBAL,0.8000586015156187,1.2737681685464617,0.8453467272232482,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,PTJPL,0.7945073123916195,1.162464677575045,0.2230013110382005,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,DISALEXI,0.832206160020981,1.023152709833565,0.3185469093074835,36.177669,-120.202644999999
Almond_Med,v3,corr,Closed,ensemble_mean,0.8283169763872008,1.0721735388520146,0.4485760401874397,36.177669,-120.202644999999
BAR012,v3,corr,Closed,EEMETRIC,0.4750713893096145,1.0646440736686258,0.4313468385732726,38.751,-122.975
BAR012,v3,corr,Closed,SSEBOP,0.6218281307721224,0.9947795737303988,-0.7472963125258025,38.751,-122.975
BAR012,v3,corr,Closed,SIMS,0.7870694254727306,0.4851884543986226,-0.1343763130043383,38.751,-122.975
BAR012,v3,corr,Closed,GEESEBAL,0.1403037836345511,1.500323896938922,0.5288607267225001,38.751,-122.975
BAR012,v3,corr,Closed,PTJPL,0.7015948717653865,0.969606186260696,-0.7926015160814309,38.751,-122.975
BAR012,v3,corr,Closed,DISALEXI,0.7263474311906557,0.5750549083394371,-0.1364398877764741,38.751,-122.975
BAR012,v3,corr,Closed,ensemble_mean,0.7595515419351354,0.573782893921085,-0.2158296909587304,38.751,-122.975
Ellendale,v3,corr,Closed,EEMETRIC,0.7065427971233824,1.0723718635869235,0.970198563019098,29.633321,-90.827662
Ellendale,v3,corr,Closed,SSEBOP,0.7581935228339098,1.2150456323388883,1.1869179304233672,29.633321,-90.827662
Ellendale,v3,corr,Closed,SIMS,0.6077840629956733,1.2595900019782638,1.1707793320540971,29.633321,-90.827662
Ellendale,v3,corr,Closed,GEESEBAL,0.6033029765741859,1.3303609938696548,0.9051468963292244,29.633321,-90.827662
Ellendale,v3,corr,Closed,PTJPL,0.5717858717893389,0.8639216418138409,0.3761636274451774,29.633321,-90.827662
Ellendale,v3,corr,Closed,DISALEXI,0.7002525296941473,0.8542616431196219,0.4401169047881944,29.633321,-90.827662
Ellendale,v3,corr,Closed,ensemble_mean,0.701458375721244,1.0103331071623285,0.8468508333181011,29.633321,-90.827662
RIP760,v3,corr,Closed,EEMETRIC,0.4597312796961025,1.1336790543498032,-0.2073460026539103,36.839,-120.21
RIP760,v3,corr,Closed,SSEBOP,0.6233720699737021,1.3162651108529009,-1.1533528552556898,36.839,-120.21
RIP760,v3,corr,Closed,SIMS,0.7741875871253359,0.8123661009371794,0.5742537003351196,36.839,-120.21
RIP760,v3,corr,Closed,GEESEBAL,0.5707527216830821,0.8961388788584211,-0.0619911783791161,36.839,-120.21
