SITE_ID,version,corr_uncorr_type_corr,flux_calc,openet_model,r2_corr,MAE_corr,MBE_corr,Latitude,Longitude,corr_uncorr_type_uncorr,r2_uncorr,MAE_uncorr,MBE_uncorr,r2_diff,MAE_diff,MBE_diff
Almond_High,v3,corr,Closed,SIMS,0.8998285639448728,16.922906572247285,3.1873910752540167,36.169669,-120.201004,uncorr,0.8965672248438068,18.74356472582939,7.525460996098699,0.003261339101065963,-1.8206581535821051,-4.338069920844683
Almond_Med,v3,corr,Closed,SIMS,0.907619482626554,21.08837318496413,9.252046139061852,36.177669,-120.202644999999,uncorr,0.9038362368453547,22.621198212431754,13.684448485808025,0.0037832457811992626,-1.5328250274676236,-4.432402346746173
BAR012,v3,corr,Closed,SIMS,0.9196663251922708,9.63176543006314,-3.7480758945053263,38.751,-122.975,uncorr,0.919735237880012,29.36815852319647,-29.36815852319647,-6.891268774122938e-05,-19.73639309313333,25.620082628691144
Ellendale,v3,corr,Closed,SIMS,0.7890558418638441,13.156209135205168,-2.4534792441176685,29.633321,-90.827662,uncorr,0.8108285442616274,23.627868246380626,-19.419385867007925,-0.021772702397783283,-10.471659111175457,16.965906622890255
US-AR1,v3,corr,Closed,SIMS,0.7779243463342835,34.59143388985722,-33.66292821184833,36.4267,-99.42,uncorr,0.7762495832136023,35.92871287532727,-34.91621754358509,0.0016747631206812663,-1.33727898547005,1.2532893317367595
US-Bi1,v3,corr,Closed,SIMS,0.9096736819600793,11.854500373175574,-0.5290431545868909,38.0991537999999,-121.49933,uncorr,0.8906048648491572,16.880627545849052,-11.188108745043964,0.01906881711092201,-5.026127172673478,10.659065590457073
US-Bkg,v3,corr,Closed,SIMS,0.9538435969781184,9.455787879305554,-0.3941364468462087,44.34529,-96.83617,uncorr,0.9583600057118772,16.11624778011991,-10.23698747712018,-0.004516408733758803,-6.660459900814356,9.842851030273971
US-Bo1,v3,corr,Closed,SIMS,0.9016494514110764,13.733679829094427,-9.302995797753386,40.0062,-88.2904,uncorr,0.9032280559239996,19.6766946662592,-19.228548750886677,-0.0015786045129231319,-5.943014837164771,9.925552953133291
US-Br1,v3,corr,Closed,SIMS,0.8989446547477462,12.73667459206794,-1.4730666883188763,41.9749,-93.6906,uncorr,0.8890122928151608,19.435770163452105,-13.854987092252172,0.009932361932585398,-6.699095571384165,12.381920403933295
US-Br3,v3,corr,Closed,SIMS,0.8832293490846087,13.367022781602184,-0.9216073365020508,41.97472,-93.69357,uncorr,0.8757069004766628,19.83941328199195,-13.329804975956604,0.007522448607945931,-6.472390500389764,12.408197639454553
US-Dk1,v3,corr,Closed,SIMS,0.6445657987177351,26.953902677136675,-26.669846235817943,35.9712,-79.09338,uncorr,0.6669933138945539,46.743358446139126,-46.743358446139126,-0.022427515176818735,-19.78945576900245,20.073512210321184
US-Bi2,v3,corr,Closed,SIMS,0.8745142727701357,17.199136415528017,3.8541183920888553,38.109,-121.535,uncorr,0.868739436884279,21.037540014457495,-5.95645489442267,0.0057748358858566995,-3.838403598929478,9.810573286511525
US-KLS,v3,corr,Closed,SIMS,0.7310546724973005,23.494944858139323,-19.54029799010812,38.7745,-97.5684,uncorr,0.7189788384265993,30.67259566672046,-28.581809205447684,0.01207583407070123,-7.177650808581138,9.041511215339565
US-Mj1,v3,corr,Closed,SIMS,0.9999999999999996,21.27282725456303,-21.09744648039811,46.99475,-109.61375,uncorr,1.0,29.0858375943811,-29.0858375943811,-4.440892098500626e-16,-7.813010339818071,7.988391113982992
US-Mj2,v3,corr,Closed,SIMS,1.0,10.006950151365242,-10.006950151365242,46.9957,-109.6295,uncorr,1.0,13.398186540896113,-13.398186540896113,0.0,-3.391236389530871,3.391236389530871
US-Ro1,v3,corr,Closed,SIMS,0.8987464295467226,13.930569339728669,-6.228946685233643,44.7143,-93.0898,uncorr,0.899497214444133,21.661993210130937,-19.992772604202464,-0.0007507848974104281,-7.731423870402269,13.763825918968822
US-Ro2,v3,corr,Closed,SIMS,0.9789163061566744,6.6000345744315165,0.3722274102645938,44.7288,-93.0888,uncorr,0.9744511149891806,15.907325563343573,-15.288063993712958,0.004465191167493776,-9.307290988912056,15.660291403977553
US-Ro5,v3,corr,Closed,SIMS,0.8159367908412473,15.04516014512186,-4.5326080763372625,44.691,-93.0576,uncorr,0.847196117993324,19.472340761349223,-17.99409605517004,-0.03125932715207669,-4.427180616227362,13.461487978832778
US-Ro6,v3,corr,Closed,SIMS,0.9389339895338756,10.488446454093683,-6.3173723467055005,44.6946,-93.05776,uncorr,0.9077014276705356,21.39396874103184,-19.010468468851393,0.031232561863340003,-10.905522286938158,12.693096122145892
US-Tw2,v3,corr,Closed,SIMS,0.9991115108080412,18.425069172965383,-18.425069172965383,38.1047,-121.6433,uncorr,0.9980702184406136,34.21193670075069,-34.21193670075069,0.0010412923674275598,-15.786867527785308,15.786867527785308
US-Tw3,v3,corr,Closed,SIMS,0.9426770175473556,19.033201710757723,-18.33722812657494,38.1159,-121.6467,uncorr,0.9272509014625856,24.68972135959442,-24.45351329341041,0.015426116084769959,-5.656519648836696,6.116285166835471
