SITE_ID,version,corr_uncorr_type_corr,flux_calc,openet_model,r2_corr,MAE_corr,MBE_corr,Latitude,Longitude,corr_uncorr_type_uncorr,r2_uncorr,MAE_uncorr,MBE_uncorr,r2_diff,MAE_diff,MBE_diff
Almond_High,v3,corr,Closed,SIMS,0.8998285639448728,16.922906572247285,3.1873910752540167,36.169669,-120.201004,uncorr,0.8965672248438068,18.74356472582939,7.525460996098699,0.003261339101065963,-1.8206581535821051,-4.338069920844683
Almond_Low,v3,corr,Closed,SIMS,0.8879529442218443,32.15064598948735,23.986370648932088,36.946608,-120.10237,uncorr,0.8847373647734459,23.937013046873357,7.210088215137843,0.0032155794483984534,8.213632942613994,16.776282433794243
Almond_Med,v3,corr,Closed,SIMS,0.907619482626554,21.08837318496413,9.252046139061852,36.177669,-120.202644999999,uncorr,0.9038362368453547,22.621198212431754,13.684448485808025,0.0037832457811992626,-1.5328250274676236,-4.432402346746173
US-AR1,v3,corr,Closed,SIMS,0.7779243463342835,34.59143388985722,-33.66292821184833,36.4267,-99.42,uncorr,0.7762495832136023,35.92871287532727,-34.91621754358509,0.0016747631206812663,-1.33727898547005,1.2532893317367595
US-Bi1,v3,corr,Closed,SIMS,0.9096736819600793,11.854500373175574,-0.5290431545868909,38.0991537999999,-121.49933,uncorr,0.8906048648491572,16.880627545849052,-11.188108745043964,0.01906881711092201,-5.026127172673478,10.659065590457073
US-Br1,v3,corr,Closed,SIMS,0.8989446547477462,12.73667459206794,-1.4730666883188763,41.9749,-93.6906,uncorr,0.8890122928151608,19.435770163452105,-13.854987092252172,0.009932361932585398,-6.699095571384165,12.381920403933295
US-Br3,v3,corr,Closed,SIMS,0.8832293490846087,13.367022781602184,-0.9216073365020508,41.97472,-93.69357,uncorr,0.8757069004766628,19.83941328199195,-13.329804975956604,0.007522448607945931,-6.472390500389764,12.408197639454553
US-Bi2,v3,corr,Closed,SIMS,0.8745142727701357,17.199136415528017,3.8541183920888553,38.109,-121.535,uncorr,0.868739436884279,21.037540014457495,-5.95645489442267,0.0057748358858566995,-3.838403598929478,9.810573286511525
US-KLS,v3,corr,Closed,SIMS,0.7310546724973005,23.494944858139323,-19.54029799010812,38.7745,-97.5684,uncorr,0.7189788384265993,30.67259566672046,-28.581809205447684,0.01207583407070123,-7.177650808581138,9.041511215339565
US-OF1,v3,corr,Closed,SIMS,0.9576386542713288,26.51150467514623,26.51150467514623,35.7370669999999,-90.0492,uncorr,0.7166726000131632,10.585002257344089,5.827878408791425,0.24096605425816553,15.926502417802142,20.683626266354807
US-Ro2,v3,corr,Closed,SIMS,0.9789163061566744,6.6000345744315165,0.3722274102645938,44.7288,-93.0888,uncorr,0.9744511149891806,15.907325563343573,-15.288063993712958,0.004465191167493776,-9.307290988912056,15.660291403977553
US-Ro6,v3,corr,Closed,SIMS,0.9389339895338756,10.488446454093683,-6.3173723467055005,44.6946,-93.05776,uncorr,0.9077014276705356,21.39396874103184,-19.010468468851393,0.031232561863340003,-10.905522286938158,12.693096122145892
US-Tw2,v3,corr,Closed,SIMS,0.9991115108080412,18.425069172965383,-18.425069172965383,38.1047,-121.6433,uncorr,0.9980702184406136,34.21193670075069,-34.21193670075069,0.0010412923674275598,-15.786867527785308,15.786867527785308
US-Tw3,v3,corr,Closed,SIMS,0.9426770175473556,19.033201710757723,-18.33722812657494,38.1159,-121.6467,uncorr,0.9272509014625856,24.68972135959442,-24.45351329341041,0.015426116084769959,-5.656519648836696,6.116285166835471
