SITE_ID,Latitude,Longitude,corr_uncorr_type_corr,r2_corr,MAE_corr,MBE_corr,corr_uncorr_type_uncorr,r2_uncorr,MAE_uncorr,MBE_uncorr,r2_diff,MAE_diff,MBE_diff
SLM001,38.289,-121.118,Corrected,0.954064279208035,20.50872920466695,-20.505935065839704,Uncorrected,0.941745083448092,41.5804033672419,-41.5804033672419,0.012319195759943002,-21.07167416257495,21.074468301402195
Ellendale,29.633321,-90.827662,Corrected,0.8118070554677251,36.67557724172487,36.67557724172487,Uncorrected,0.7738872504302053,17.626056597842247,15.830122624744751,0.037919805037519794,19.049520643882627,20.84545461698012
BAR012,38.751,-122.975,Corrected,0.9533345507514732,14.717537920992523,-13.56759148060202,Uncorrected,0.9243213941720158,54.153305528465395,-54.153305528465395,0.029013156579457466,-39.43576760747287,40.58571404786338
US-Ro1,44.7143,-93.0898,Corrected,0.9399031496091158,8.760899735132488,-3.460798742715836,Uncorrected,0.9170662496916956,18.86000631830254,-18.64815791950913,0.022836899917420217,-10.09910658317005,15.187359176793295
RIP760,36.839,-120.21,Corrected,0.9267311714667374,42.69509058785713,-42.69509058785713,Uncorrected,0.9096328747191322,65.49909079146659,-65.49909079146659,0.017098296747605213,-22.804000203609455,22.804000203609455
Almond_Low,36.946608,-120.10237,Corrected,0.9655633306157064,21.566167058820945,-21.527540600851992,Uncorrected,0.9601954195484872,40.25830994853803,-40.25830994853803,0.005367911067219233,-18.692142889717083,18.730769347686035
US-Ro5,44.691,-93.0576,Corrected,0.9908310869840552,4.136868562037781,1.3370830596927366,Uncorrected,0.9877088289474452,11.535583694617246,-11.449929864122554,0.003122258036610037,-7.398715132579465,12.78701292381529
US-Bi2,38.109,-121.535,Corrected,0.9746382973165768,8.314446363911047,5.862797912353486,Uncorrected,0.9542931729083802,13.497584134000984,-8.985686986705002,0.02034512440819658,-5.183137770089937,14.848484899058487
US-Ro2,44.7288,-93.0888,Corrected,0.9867374751371712,5.930905644692526,5.302431440578281,Uncorrected,0.9852494808479204,9.496711165020752,-9.495885766412544,0.001487994289250838,-3.565805520328226,14.798317206990824
US-Tw2,38.1047,-121.6433,Corrected,0.9632888087683854,13.322869636401846,-6.006319749262866,Uncorrected,0.9574534106435896,18.422840758613724,-15.042409527209337,0.005835398124795832,-5.099971122211878,9.03608977794647
US-Twt,38.1087203999999,-121.6531,Corrected,0.962161442460885,9.139412563750316,-1.9168021915781912,Uncorrected,0.9542336177760544,13.65727067213099,-8.670916883418036,0.007927824684830553,-4.517858108380674,6.7541146918398445
US-Bi1,38.0991537999999,-121.49933,Corrected,0.9863794203030136,5.899676714984114,2.1468153066995956,Uncorrected,0.9780630489053548,11.87816538076089,-10.66344117179649,0.00831637139765884,-5.978488665776776,12.810256478496086
US-Mj2,46.9957,-109.6295,Corrected,0.9999999999999998,9.872750604311264,9.872750604311264,Uncorrected,0.9999999999999996,6.93678634618,3.3469525219595795,2.220446049250313e-16,2.935964258131264,6.525798082351685
US-Bkg,44.34529,-96.83617,Corrected,0.9719095234498846,22.170702267201584,-22.170702267201584,Uncorrected,0.9680850795512342,33.48192733025695,-33.48192733025695,0.0038244438986503315,-11.311225063055367,11.311225063055367
US-OF2,35.7406,-90.0489,Corrected,1.0,3.5551785612909725,3.5551785612909725,Uncorrected,0.9999999999999998,21.444822153964765,-21.444822153964765,2.220446049250313e-16,-17.889643592673792,25.000000715255737
