SITE_ID,version,corr_uncorr_type_corr,flux_calc,openet_model,r2_corr,MAE_corr,MBE_corr,Latitude,Longitude,corr_uncorr_type_uncorr,r2_uncorr,MAE_uncorr,MBE_uncorr,r2_diff,MAE_diff,MBE_diff
ALARC2_Smith6,v3,corr,Closed,EEMETRIC,0.7706420861549355,1.0714965289555434,-0.8532171726920798,32.6972696111111,-114.515439638888,uncorr,0.7754304708011621,1.5247364599280553,-1.5247364599280553,-0.004788384646226662,-0.4532399309725119,0.6715192872359755
Almond_High,v3,corr,Closed,EEMETRIC,0.6825430102884616,1.2387369012048104,0.4717307690911899,36.169669,-120.201004,uncorr,0.6937902869098423,1.2589089099933313,0.6264545696029167,-0.011247276621380697,-0.02017200878852088,-0.1547238005117268
Almond_Med,v3,corr,Closed,EEMETRIC,0.7310742775788217,1.4298637316252043,0.8063641519288617,36.177669,-120.202644999999,uncorr,0.7445789960646896,1.4586602397766444,0.9641021712307531,-0.013504718485867873,-0.02879650815144008,-0.15773801930189146
BAR012,v3,corr,Closed,EEMETRIC,0.4750713893096145,1.0646440736686258,0.4313468385732726,38.751,-122.975,uncorr,0.4545419821515068,1.1966956727158864,-0.2182790400339449,0.020529407158107693,-0.1320515990472606,0.6496258786072175
B_01,v3,corr,Closed,EEMETRIC,0.7286151302314718,0.8483050222435659,-0.3379302923407992,39.055,-119.134,uncorr,0.731380183874554,1.144218917633279,-0.925678665861296,-0.002765053643082105,-0.29591389538971324,0.5877483735204968
ET_8,v3,corr,Closed,EEMETRIC,0.7906176780409165,0.8767714602279634,-0.0595958266900677,38.859,-119.764,uncorr,0.7834767454907166,0.8920956963387975,-0.2918203661354525,0.007140932550199985,-0.01532423611083411,0.2322245394453848
JPL1_JV114,v3,corr,Closed,EEMETRIC,,0.5000126669610094,-0.5000126669610094,32.6562971111111,-114.656470916666,uncorr,,0.6141264201456078,-0.6141264201456078,,-0.11411375318459838,0.11411375318459838
RIP760,v3,corr,Closed,EEMETRIC,0.4597312796961025,1.1336790543498032,-0.2073460026539103,36.839,-120.21,uncorr,0.4530955060657456,1.284667744729752,-0.7906436551791334,0.006635773630356889,-0.1509886903799489,0.5832976525252231
S2,v3,corr,Closed,EEMETRIC,0.8833394957492781,0.637335069633691,0.0464990330309205,43.41712,-118.61424,uncorr,0.8802613069435425,0.7755395054982518,-0.368206699884205,0.0030781888057355156,-0.13820443586456077,0.4147057329151255
UA1_HartFarm,v3,corr,Closed,EEMETRIC,0.9136530282406792,0.7597889804618537,-0.6332622165229566,33.0774250555555,-112.112065138888,uncorr,0.9170645609092032,0.811471325770063,-0.7097910204283063,-0.003411532668524009,-0.051682345308209254,0.07652880390534977
