SITE_ID,version,corr_uncorr_type_corr,flux_calc,openet_model,r2_corr,MAE_corr,MBE_corr,Latitude,Longitude,corr_uncorr_type_uncorr,r2_uncorr,MAE_uncorr,MBE_uncorr,r2_diff,MAE_diff,MBE_diff
ALARC2_Smith6,v3,corr,Closed,SSEBOP,0.808549570618837,0.835968548180814,-0.3030058036503115,32.6972696111111,-114.515439638888,uncorr,0.8162117895615377,1.1477290594649403,-0.9152650163731424,-0.007662218942700694,-0.3117605112841263,0.6122592127228309
Almond_Low,v3,corr,Closed,SSEBOP,0.767027864432941,1.136510875801463,0.4985829242393519,36.946608,-120.10237,uncorr,0.7606862148759408,1.1776594694322216,-0.1446215285472735,0.0063416495570002285,-0.04114859363075851,0.6432044527866254
BAR012,v3,corr,Closed,SSEBOP,0.6218281307721224,0.9947795737303988,-0.7472963125258025,38.751,-122.975,uncorr,0.5800411256467419,1.8506546944623012,-1.768419089319044,0.04178700512538047,-0.8558751207319024,1.0211227767932414
JPL1_JV114,v3,corr,Closed,SSEBOP,,0.018015072765801,0.018015072765801,32.6562971111111,-114.656470916666,uncorr,,0.0758072910092937,-0.0758072910092937,,-0.057792218243492705,0.0938223637750947
LYS_NE,v3,corr,Closed,SSEBOP,0.538424628247854,1.4410276447207282,-0.2452493591162263,35.188127,-102.095543,uncorr,0.5335715087271637,1.4500098675976645,-0.2050062790810815,0.00485311952069023,-0.008982222876936286,-0.04024308003514482
LYS_NW,v3,corr,Closed,SSEBOP,0.5025328768928907,1.604748066064697,-0.5236800667388459,35.1881349999999,-102.097929,uncorr,0.494776475255246,1.6196125868676703,-0.4783255574000047,0.007756401637644739,-0.01486452080297318,-0.04535450933884122
LYS_SE,v3,corr,Closed,SSEBOP,0.6297314705956444,1.401231826979423,-0.3436240123631109,35.186095,-102.095559999999,uncorr,0.6239004229457138,1.4107779201167945,-0.3025195329303696,0.0058310476499305874,-0.009546093137371425,-0.041104479432741314
LYS_SW,v3,corr,Closed,SSEBOP,0.6828887990760425,1.6013462084062178,0.0628569560261753,35.1861,-102.097938,uncorr,0.6777548990244805,1.6083642780169518,0.1044688737018218,0.0051339000515620015,-0.007018069610734035,-0.041611917675646495
RIP760,v3,corr,Closed,SSEBOP,0.6233720699737021,1.3162651108529009,-1.1533528552556898,36.839,-120.21,uncorr,0.6183200998396955,1.90768835800094,-1.851306439018516,0.0050519701340066,-0.5914232471480392,0.6979535837628263
S2,v3,corr,Closed,SSEBOP,0.858189121948547,0.7718436886546601,-0.1285861763869017,43.41712,-118.61424,uncorr,0.8605623607620012,1.0164166725343255,-0.5669930188041523,-0.0023732388134541926,-0.24457298387966542,0.4384068424172506
