SITE_ID,version,corr_uncorr_type_corr,flux_calc,openet_model,r2_corr,MAE_corr,MBE_corr,Latitude,Longitude,corr_uncorr_type_uncorr,r2_uncorr,MAE_uncorr,MBE_uncorr,r2_diff,MAE_diff,MBE_diff
Almond_Low,v3,corr,Closed,EEMETRIC,0.9056489681502838,29.87284792803623,23.09045447112422,36.946608,-120.10237,uncorr,0.8999068579857231,22.991713138607363,5.938872607790472,0.005742110164560721,6.881134789428867,17.15158186333375
BAR012,v3,corr,Closed,EEMETRIC,0.8743243693275318,15.866314302449553,11.11950886103505,38.751,-122.975,uncorr,0.8446130744197153,21.960358333655353,-10.138189092913352,0.029711294907816432,-6.094044031205801,21.2576979539484
B_11,v3,corr,Closed,EEMETRIC,0.929906125081402,19.120735198618707,13.41852911900239,39.108,-119.146,uncorr,0.9275423928087486,16.901450634083798,-9.11787295504791,0.002363732272653407,2.2192845645349095,22.5364020740503
Ellendale,v3,corr,Closed,EEMETRIC,0.7876656351424821,28.077078090923955,28.077078090923955,29.633321,-90.827662,uncorr,0.7760360033506589,20.47691770918383,16.56517824479407,0.011629631791823192,7.600160381740125,11.511899846129886
ET_8,v3,corr,Closed,EEMETRIC,0.904702928240422,13.66876691027664,-2.25362218295634,38.859,-119.764,uncorr,0.8967365201045181,15.238870091438692,-9.706949018006709,0.00796640813590388,-1.570103181162052,7.453326835050369
manilacotton,v3,corr,Closed,EEMETRIC,0.6361030308721018,33.081810639426664,29.985436917666664,35.8872,-90.1371,uncorr,0.5078188307325416,22.759570857061952,11.01483725018718,0.1282842001395602,10.322239782364711,18.970599667479483
RIP760,v3,corr,Closed,EEMETRIC,0.4489231881349432,23.898165690655773,-8.341516222478912,36.839,-120.21,uncorr,0.4290468495285272,33.171024321521266,-28.82784483757369,0.019876338606416022,-9.272858630865493,20.486328615094777
S2,v3,corr,Closed,EEMETRIC,0.9281143254898586,12.836413924976643,0.356578766372387,43.41712,-118.61424,uncorr,0.9190699522206,17.716871184825276,-8.63876994841781,0.009044373269258665,-4.880457259848633,8.995348714790197
SLM001,v3,corr,Closed,EEMETRIC,0.8007548530068792,20.409973331996017,10.84076284741103,38.289,-121.118,uncorr,0.8006492578093679,18.442967171637328,-4.872536701721755,0.00010559519751129898,1.9670061603586895,15.713299549132785
US-Bi1,v3,corr,Closed,EEMETRIC,0.8893396400215646,14.416627114003012,7.366413740830636,38.0991537999999,-121.49933,uncorr,0.876945535463301,16.56288780879175,-2.5802202025750143,0.012394104558263619,-2.1462606947887384,9.94663394340565
US-Bkg,v3,corr,Closed,EEMETRIC,0.8872715673640512,15.801217931858988,3.677071416601723,44.34529,-96.83617,uncorr,0.8804786895064638,22.073699741806163,-5.449054559014677,0.0067928778575874205,-6.272481809947175,9.1261259756164
US-Bo1,v3,corr,Closed,EEMETRIC,0.8973346408863663,11.756665082392193,7.208216294260324,40.0062,-88.2904,uncorr,0.8830158406710995,14.487956517230833,-0.9524558641273204,0.01431880021526677,-2.7312914348386403,8.160672158387644
US-Br1,v3,corr,Closed,EEMETRIC,0.8188108735734129,18.243875323531217,7.771728043916216,41.9749,-93.6906,uncorr,0.7942497994368027,20.549112334886644,-3.046187713596116,0.024561074136610128,-2.305237011355427,10.817915757512331
US-Br3,v3,corr,Closed,EEMETRIC,0.85759047702581,16.664450505818014,9.271134105803332,41.97472,-93.69357,uncorr,0.8372040180606786,19.8339764889202,-1.4294132384605789,0.02038645896513147,-3.1695259831021865,10.700547344263912
US-Bi2,v3,corr,Closed,EEMETRIC,0.8391984628653287,19.609360156372617,4.539372010051601,38.109,-121.535,uncorr,0.8272088714996836,22.07568869494785,-5.154836919433318,0.011989591365645147,-2.466328538575233,9.694208929484919
US-KLS,v3,corr,Closed,EEMETRIC,0.6544153737631526,23.962356137407824,-17.00434950297548,38.7745,-97.5684,uncorr,0.6482215237740985,29.9155911743759,-25.6932371383269,0.006193849989054145,-5.953235036968078,8.68888763535142
US-Ne1,v3,corr,Closed,EEMETRIC,0.8365376770895847,21.198196852826513,5.963682847848934,41.16506,-96.47664,uncorr,0.8277899700461423,24.002780786207968,-3.408954963335927,0.00874770704344241,-2.804583933381455,9.37263781118486
US-Ne2,v3,corr,Closed,EEMETRIC,0.8311767007322627,21.759111668354695,8.259942518123394,41.16487,-96.4701,uncorr,0.8241436317720857,23.799972449242684,-0.3969491127122876,0.007033068960176969,-2.0408607808879893,8.65689163083568
